,bg,above,across,against,along,and,at,attached to,behind,belonging to,between,carrying,covered in,covering,eating,flying in,for,from,growing on,hanging from,has,holding,in,in front of,laying on,looking at,lying on,made of,mounted on,near,of,on,on back of,over,painted on,parked on,part of,playing,riding,says,sitting on,standing on,to,under,using,walking in,walking on,watching,wearing,wears,with
sitting on,0.0,0.9838118734621676,0.0,0.0,0.011338951811703418,0.0,8.481438425457787e-05,0.0,1.6326441507362675e-05,0.0,0.0,0.0,0.0,0.0047426895891216556,0.0,0.0,0.0,0.0,5.333744893085683e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
standing on,0.0,0.423479230189629,0.0,0.22245956874705883,0.0,0.29373598988389993,0.0001300263783342532,0.0,5.6953827681380375e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007827744294580663,0.0,0.0,0.0,0.02066449541886621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031697227482086913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
to,0.0,0.939014749851287,0.0,0.0,0.0,0.005865414011448063,0.04777214999802468,0.0,0.0035367150485104606,0.0,0.0032734262247411843,0.0,0.0,2.763627542259176e-07,0.0,0.0,0.0,0.00028302436468906496,0.0,0.0,0.0,3.7800125629152e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6645233898084856e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.00021281751340015555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
under,0.0,0.33073382261291223,0.0013120271326468016,0.0,0.07588646095563423,0.2480420766751953,0.18818195803998974,3.445678436976271e-05,0.03742460057411404,0.00010597006279577886,0.0008110374200131016,0.0,0.0,0.0,0.0,0.06332047602807409,0.0,0.04120938657788254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007301838097157923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01220750480031224,0.0,0.0,0.0,0.0,0.0,0.0,0.0
using,0.0,0.7938607580972736,0.03283663231732438,0.0,0.14274008651321887,0.0038595714929701864,0.004177818657598442,0.0,0.001178398302316178,0.0,0.008763004417509466,0.0,0.0,0.009932247441989723,0.0,0.0,0.0,0.00033205504947172245,0.0012570877177887011,0.0,0.0,0.0,0.0,1.034099140801859e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010520555550056238,0.0,0.0,0.0,0.0,0.0,0.0
walking in,0.0,0.9660842555917946,0.009123819002694723,0.0,0.0024426390926551955,0.0015630505170999517,0.013101018633706975,9.390343224270381e-07,0.007684258300746745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
walking on,0.0,0.9403969875757902,0.0,0.0,0.0,0.03285517108578716,0.0007190905154330692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026028783238054312,0.0,0.0,0.0,0.0
watching,0.0,0.03135908220538917,0.8231282077327579,0.0,0.0,0.0018618457791098866,0.007887946747515593,0.03951770947705887,0.0,0.012099537535185405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0069095396234175295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07723614197212024,0.0,0.0,0.0
wearing,0.0,0.14488367398338517,0.0,0.001900192484672752,0.0,0.03297826986901616,0.0001274213578943129,2.888297055130485e-06,0.0017005379716022685,0.7012499246287506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012258625832726918,2.0704492071205006e-06,0.0,0.0,0.0,0.11698492258936347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.746516338901287e-05,0.0,0.0
wears,0.0,0.07673959205499588,0.7201028743883061,0.0,0.0,0.0,0.0014258336911680504,0.19749045336317458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004241190292857019,0.0
with,0.0,0.02505332873065567,0.0,0.0,0.0,0.9488704002471361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026075728883490714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
