,bg,on,has,wearing,of,in,near,with,behind,holding,above,sitting on,wears,under,riding,in front of,standing on,at,attached to,carrying,walking on,over,belonging to,for,looking at,watching,hanging from,parked on,laying on,eating,and,covering,using,between,covered in,along,part of,lying on,on back of,to,mounted on,walking in,across,against,from,growing on,painted on,made of,playing,says,flying in
in front of,0,0.0822884,0.000783699,0,0.013322884,0.02429467,0.11520376,0.00862069,0.110501565,0.009404388,0.006269592,0.003134796,0,0.03213166,0.003134796,0.37539184,0.007836991,0.03213166,0.001567398,0.001567398,0,0.002351097,0.002351097,0.023510972,0.018808777,0.007836991,0.004702194,0.000783699,0,0.006269592,0.010188088,0.003134796,0.004702194,0.005485893,0,0.002351097,0.002351097,0.000783699,0.003918496,0.003134796,0,0,0.000783699,0.021159874,0.002351097,0.009404388,0.000783699,0.006269592,0.002351097,0.000783699,0.02586207
standing on,0,0.040454224,0.015613911,0.007806955,0,0.08729596,0.012065294,0.000709723,0.00212917,0.009226401,0.003548616,0.03548616,0,0.000709723,0.03761533,0.004968063,0.3910575,0.02625976,0,0.003548616,0.13839602,0.000709723,0,0,0.002838893,0.000709723,0,0.001419446,0.004258339,0.001419446,0,0,0.000709723,0,0,0.004258339,0,0.010645848,0,0.000709723,0,0.11568488,0,0,0.000709723,0.009226401,0,0,0.003548616,0,0.02625976
at,0,0.049399197,0.00400534,0,0.001335114,0.040053405,0.02670227,0.001335114,0.00400534,0.005340454,0.001335114,0.016021362,0,0.009345794,0.001335114,0.016021362,0.03871829,0.6448598,0,0,0.04138852,0.001335114,0,0,0.005340454,0,0.001335114,0.009345794,0.005340454,0.001335114,0.001335114,0.008010681,0.001335114,0.001335114,0,0.008010681,0.001335114,0.002670227,0,0.00400534,0.002670227,0.006675568,0,0,0.001335114,0,0,0,0.008010681,0.005340454,0.022696929
attached to,0,0.375895,0.002386635,0,0.23269689,0.007159905,0.00477327,0.00477327,0.007159905,0.005966587,0.003579952,0,0,0.00477327,0,0.007159905,0.002386635,0,0.11097852,0.001193318,0,0.003579952,0.011933174,0.014319809,0,0,0.050119333,0,0,0,0,0.001193318,0,0.010739856,0,0.003579952,0.005966587,0,0.011933174,0.015513127,0.063245825,0,0,0.010739856,0.002386635,0.00477327,0.002386635,0.005966587,0.001193318,0.007159905,0.002386635
carrying,0,0.005822416,0,0.024745269,0,0,0.002911208,0.020378457,0.004366812,0.22852984,0,0.001455604,0.004366812,0.001455604,0.004366812,0.001455604,0.005822416,0,0,0.6622999,0,0,0,0,0.001455604,0.002911208,0,0,0,0.002911208,0.002911208,0.001455604,0.001455604,0,0,0,0,0,0,0.001455604,0,0.001455604,0,0,0,0,0,0.002911208,0,0,0.013100437
walking on,0,0.016975308,0.00617284,0,0.00154321,0.010802469,0.00154321,0,0,0,0,0.00617284,0,0.00154321,0,0.00154321,0.13271604,0.054012347,0,0,0.6095679,0,0,0,0,0,0,0,0.00154321,0,0,0,0,0,0,0,0,0.00154321,0,0,0,0.14506173,0,0,0,0,0.00154321,0,0,0,0.007716049
over,0,0.11201629,0,0.00203666,0.01629328,0.03258656,0.024439918,0.00610998,0.034623217,0.012219959,0.14663951,0.010183299,0,0.00610998,0.014256619,0,0.010183299,0.00610998,0.014256619,0,0,0.25050917,0.00203666,0.00610998,0,0.00203666,0.01629328,0,0.00203666,0.00407332,0.026476579,0.09572301,0,0.00203666,0.00203666,0.036659878,0.00814664,0.010183299,0.00407332,0.00610998,0.00407332,0,0.018329939,0.00203666,0.00814664,0.00407332,0.00203666,0.00814664,0.00203666,0.012219959,0.01629328
belonging to,0,0.057873487,0,0,0.7860027,0,0,0,0.001345895,0.001345895,0,0,0,0,0,0.001345895,0,0,0,0,0,0,0.14401077,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004037685,0,0.001345895,0,0,0,0,0.001345895,0,0,0,0.001345895,0,0,0
for,0,0.1299435,0.002824859,0,0.042372882,0.008474576,0.042372882,0.04519774,0.06214689,0.056497175,0.028248588,0.002824859,0,0.036723163,0,0.025423728,0,0.008474576,0.033898305,0,0,0.016949153,0,0.28531075,0,0,0.002824859,0,0,0,0.005649718,0.002824859,0,0.002824859,0,0.014124294,0,0.002824859,0.008474576,0.096045196,0.005649718,0,0,0.005649718,0,0,0,0.005649718,0,0.014124294,0.005649718
looking at,0,0.008595988,0.00286533,0.00286533,0.00286533,0.011461319,0.048710603,0.014326648,0.017191976,0.074498564,0,0.011461319,0,0,0.071633235,0.017191976,0.025787966,0.017191976,0,0.005730659,0.00286533,0,0,0,0.27507162,0.100286536,0,0,0.00286533,0.045845274,0.014326648,0,0.18624642,0,0,0,0,0.00286533,0,0,0,0,0,0,0,0,0,0,0.008595988,0,0.028653296
