,bg,on,has,wearing,of,in,near,with,behind,holding,above,sitting on,wears,under,riding,in front of,standing on,at,attached to,carrying,walking on,over,belonging to,for,looking at,watching,hanging from,parked on,laying on,eating,and,covering,using,between,covered in,along,part of,lying on,on back of,to,mounted on,walking in,across,against,from,growing on,painted on,made of,playing,says,flying in
and,0.0,0.17460317460009517,0.08994708994550357,0.024691358024255886,0.0035273368606079836,0.03703703703638383,0.31216931216380656,0.10582010581823949,0.05114638447881577,0.05114638447881577,0.0,0.0,0.0,0.024691358024255886,0.008818342151519958,0.005291005290911974,0.0,0.0017636684303039918,0.0,0.0,0.0,0.0035273368606079836,0.0,0.0017636684303039918,0.007054673721215967,0.012345679012127943,0.0,0.0,0.0,0.0,0.08465608465459158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
covering,0.0,0.8095238095045352,0.049999999998809525,0.0,0.011904761904478457,0.01428571428537415,0.03333333333253968,0.0,0.007142857142687075,0.0,0.004761904761791383,0.0,0.0,0.0,0.0,0.0023809523808956917,0.0,0.0,0.0,0.0,0.0,0.04761904761791383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01666666666626984,0.0,0.0,0.0023809523808956917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
using,0.0,0.1778425655924827,0.0612244897941334,0.02915451894958733,0.0,0.0,0.0087463556848762,0.0,0.0,0.33819241981521303,0.0,0.005830903789917467,0.0,0.0029154518949587333,0.011661807579834933,0.0,0.0,0.0,0.0,0.0029154518949587333,0.0,0.0,0.0,0.0,0.02915451894958733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3323615160252956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
between,0.0,0.19733924611535833,0.062084257204831836,0.004434589800345131,0.008869179600690263,0.028824833702243355,0.5077605321395176,0.015521064301207959,0.07982261640621235,0.004434589800345131,0.0,0.0,0.0,0.008869179600690263,0.0,0.013303769401035392,0.0,0.0,0.0022172949001725657,0.0,0.0,0.0,0.0,0.0,0.0022172949001725657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0643015521050044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
covered in,0.0,0.10327455919135328,0.143576826192857,0.0,0.0025188916875939827,0.22921914357105241,0.0025188916875939827,0.03022670025112779,0.020151133500751862,0.0025188916875939827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46599496220488684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
along,0.0,0.40497737555644847,0.0022624434388628404,0.0,0.0,0.03846153846066829,0.4773755656000594,0.0,0.03846153846066829,0.0,0.0,0.0,0.0,0.0,0.0,0.0022624434388628404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03393665158294261,0.0,0.0,0.0,0.0,0.0,0.0022624434388628404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
part of,0.0,0.41907514449655847,0.0057803468206421875,0.0,0.557803468191971,0.0,0.0057803468206421875,0.0,0.0028901734103210937,0.0,0.0,0.0,0.0,0.0028901734103210937,0.0,0.0028901734103210937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028901734103210937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lying on,0.0,0.8803827750774935,0.009569377989972757,0.014354066984959135,0.0,0.03827751195989103,0.0047846889949863785,0.0,0.0,0.0047846889949863785,0.0,0.0047846889949863785,0.0,0.0047846889949863785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014354066984959135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023923444974931887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
on back of,0.0,0.8409090908772383,0.0037878787877353077,0.0,0.08712121211791207,0.007575757575470615,0.04545454545282369,0.0,0.007575757575470615,0.0037878787877353077,0.0,0.0,0.0,0.0,0.0037878787877353077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
to,0.0,0.709558823503325,0.0,0.025735294116700905,0.04411764705720156,0.07352941176200259,0.05514705882150194,0.007352941176200259,0.018382352940500647,0.007352941176200259,0.0036764705881001296,0.0,0.0,0.02205882352860078,0.0,0.0036764705881001296,0.0,0.0,0.0,0.0,0.0,0.007352941176200259,0.0,0.0036764705881001296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018382352940500647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
